id;licencearea;gridsupplypoint;fromsubstation_sitefunctionallocation;fromsubstation;fromnode;tonode;tosubstation;linename;operating_voltage;positive_sequence_impedance_r_percent;positive_sequence_impedance_x_percent;susceptance_b_percent;rating_amps_summer;rating_amps_winter;circuit_length
2677;Eastern Power Networks (EPN);Bramford;EPN-S0000000D1024;Ipswich Grid 132kV;IPSW12;IPSW1B;DNO-UKPN;IPSWT_IPSW_1;132;0.0;0.0;0.14;612;715;0.060
2689;Eastern Power Networks (EPN);Bramford;EPN-S0000000H1063;Kennett Primary 33kV;KENN31;KENN3B;DNO-UKPN;KENN_KENNT_1(1);33;10.0;26.63;0.03;408;508;7.945
2710;Eastern Power Networks (EPN);Bramford;EPN-S0000000D3048;Lawford Grid 33kV;LAWG31;LAWG3C;Lawford Grid 33kV;LAWG_LANGT_1_(1);33;1.33;1.62;0.2;358;411;1.564
2724;Eastern Power Networks (EPN);Bramford;EPN-S0000000H3063;Old Rd Primary 33kV;OLDR31;GUNS3A;Old Rd Primary 33kV;OLDRT_OLDR_1;33;0.0;0.0;0.0;459;532;0.001
2730;Eastern Power Networks (EPN);Bramford;EPN-S0000000H1027;Playfield Primary 33kV;PLAY32;BURG31;Bury Grid 33kV;PLAY_BURG_2;33;0.96;1.07;0.34;511;590;1.500
2762;Eastern Power Networks (EPN);Bramford;EPN-S0000000D1018;Stowmarket Grid 33kV;STOW31;STOW3F;DNO-UKPN;lne_STOW_HITCT_2(1);33;0.01;0.01;0.0;521;579;0.010
2765;Eastern Power Networks (EPN);Bramford;EPN-S0000000D1018;Stowmarket Grid 33kV;STOW31;STOW3A;DNO-UKPN;STOW_DEBE_1;33;7.93;18.21;0.11;371;463;6.156
2771;Eastern Power Networks (EPN);Bramford;EPN-S0000000D1018;Stowmarket Grid 33kV;STOW3N;STOW31;Stowmarket Grid 33kV;STOW_STOW_1;33;0.03;0.03;0.0;403;445;0.030
2783;Eastern Power Networks (EPN);Bramford;EPN-S0000000H1008;Turret Ln Primary 33kV;TURR32;FORE32;Fore Hamlet Primary 33kV;TURR_ROUNT_1;33;0.49;0.79;0.19;511;590;0.974
2793;Eastern Power Networks (EPN);Brimsdown;EPN-S0000000D8068;Barnet Grid 33kV;BARN31;CPOT31;Central Potters Bar Primary 33kV;CPOT_BARN_2;33;5.28;6.39;0.72;521;579;6.688
2798;Eastern Power Networks (EPN);Brimsdown;EPN-S0000000D8068;Barnet Grid 33kV;BARN31;TAPS33;Tapster St Primary 33kV;BARN_TAPS_3;33;1.67;1.26;0.29;286;327;1.617
2799;Eastern Power Networks (EPN);Brimsdown;EPN-S0000000D8068;Barnet Grid 33kV;BARN31;BARN3B;Barnet Grid 33kV;Lne_GT1 tail;33;0.02;0.05;0.07;730;811;0.170
2806;Eastern Power Networks (EPN);Brimsdown;EPN-S0000000D7085;Brimsdown North Grid 33kV;BRNO31;THCR32;The Cross 33kV;BRNO_THCR_2;33;5.18;5.6;0.39;291;333;4.099
2811;Eastern Power Networks (EPN);Brimsdown;EPN-S0000000D7085;Brimsdown North Grid 33kV;BRNO31;BRNO3A;DNO-UKPN;BRNO_NCHGT_1_(1);33;0.59;0.72;0.05;456;525;0.640
50;London Power Networks (LPN);Barking West 33kV;LPN-S000000000784;Sewell Rd B 11kV;SEWL51;SEWL51;Sewell Rd B 11kV;lne_BC2_1;11;0.08;0.83;0.0;;;1.000
60;London Power Networks (LPN);Beddington;LPN-S000000003886;Sydenham Park 33kV;SYDP31;WINL31;Winlaton Rd 33kV;lne_SYDP_WINL_1;33;5.47;4.07;0.98;290;320;1.000
62;London Power Networks (LPN);Beddington;LPN-S000000003886;Sydenham Park 33kV;SYDP31;WINL33;Winlaton Rd 33kV;lne_SYDP_WINL_3;33;5.45;4.04;0.98;290;320;1.000
