name,url,type,fuel,capacity_mw,operator,location,latitude,longitude,commissioned,status
Dorenell Wind Farm (Previously Site A and B Scaut Hill),https://electricityproduction.uk/plant/GBR2001057/,,Wind,177.0,EDF Energy Renewables/ Infinergy,,,,,
EDF Energy Renewables/ Infinergy,https://electricityproduction.uk/plant/owner/edf-energy-renewables-infinergy/,,,177.0,,,,,,
Clyde Wind Farm Extension (Clyde 2),https://electricityproduction.uk/plant/GBR0004178/,,Wind,172.8,Scottish and Southern Energy (SSE)/ GIB,,,,,
Scottish and Southern Energy (SSE)/ GIB,https://electricityproduction.uk/plant/owner/scottish-and-southern-energy-sse-gib/,,,172.8,,,,,,
Sloy,https://electricityproduction.uk/plant/GBR1000404/,,Hydro,152.5,Scottish and Southern: Hydro Schemes - Sloy/Awe,,,,,
Scottish and Southern: Hydro Schemes - Sloy/Awe,https://electricityproduction.uk/plant/owner/scottish-and-southern-hydro-schemes-sloyawe/,,,232.5,,,,,,
Ormonde,https://electricityproduction.uk/plant/GBR0002509/,,Wind,150.0,Vattenfall,,,,,
Glanford Brigg,https://electricityproduction.uk/plant/GBR2000126/,,Gas,150.0,,,,,,
Fallago Rig,https://electricityproduction.uk/plant/GBR0004059/,,Wind,144.0,EDF Energy Renewables,,,,,
EDF Energy Renewables,https://electricityproduction.uk/plant/owner/edf-energy-renewables/,,,291.75,,,,,,
Taylor's Lane GT,https://electricityproduction.uk/plant/GBR1000499/,,Gas,144.0,Uniper UK Limited,,,,,
Kilroot OCGT,https://electricityproduction.uk/plant/GBR1000005/,,Gas,142.0,AES,,,,,
Indian Queens,https://electricityproduction.uk/plant/GBR1000150/,,Oil,140.0,ENGIE,,,,,
Cowes,https://electricityproduction.uk/plant/GBR1000376/,,Gas,140.0,RWE Npower Plc,,,,,
Crystal Rig 2,https://electricityproduction.uk/plant/GBR0003440/,,Wind,138.0,Fred Olsen Renewables,,,,,
Fred Olsen Renewables,https://electricityproduction.uk/plant/owner/fred-olsen-renewables/,,,536.7,,,,,,
Harestanes,https://electricityproduction.uk/plant/GBR0004119/,,Wind,136.0,Scottish Power Renewables,,,,,
Black Law,https://electricityproduction.uk/plant/GBR0003116/,,Wind,124.2,Scottish Power Renewables,,,,,
Arecleoch,https://electricityproduction.uk/plant/GBR0003258/,,Wind,120.0,Scottish Power Renewables,,,,,
Hadyard Hill,https://electricityproduction.uk/plant/GBR0003109/,,Wind,119.6,Scottish and Southern Energy (SSE),,,,,
Ballylumford B OCGT,https://electricityproduction.uk/plant/GBR1000004/,,Gas,116.0,AES,,,,,
Bhlaraidh (previously Balmacaan),https://electricityproduction.uk/plant/GBR0004640/,,Wind,110.0,Scottish and Southern Energy (SSE),,,,,
Whitelee Windfarm Extension phase 2,https://electricityproduction.uk/plant/GBR0002757/,,Wind,109.0,,,,,,
Gunfleet Sands 1,https://electricityproduction.uk/plant/GBR0002490/,,Wind,108.0,Orsted (formerly Dong Energy),,,,,
Didcot GT,https://electricityproduction.uk/plant/GBR1000377/,,Gas,100.0,RWE Npower Plc,,,,,
Glendoe,https://electricityproduction.uk/plant/GBR0000388/,,Hydro,100.0,Scottish and Southern Energy (SSE),,,,,
Lynn,https://electricityproduction.uk/plant/GBR0002493/,,Wind,97.0,Green Investment Bank,,,,,
Green Investment Bank,https://electricityproduction.uk/plant/owner/green-investment-bank/,,,194.0,,,,,,
Inner Dowsing,https://electricityproduction.uk/plant/GBR0002491/,,Wind,97.0,Green Investment Bank,,,,,
Dunmaglass,https://electricityproduction.uk/plant/GBR0004118/,,Wind,94.1,Scottish and Southern Energy (SSE),,,,,
European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site),https://electricityproduction.uk/plant/GBR2001029/,,Wind,93.2,Vattenfall,,,,,
Farr,https://electricityproduction.uk/plant/GBR0004676/,,Wind,92.0,Innogy (formerly RWE npower),,,,,
Innogy (formerly RWE npower),https://electricityproduction.uk/plant/owner/innogy-formerly-rwe-npower/,,,140.3,,,,,,
Barrow,https://electricityproduction.uk/plant/GBR0002546/,,Wind,90.0,Orsted (formerly Dong Energy),,,,,
Burbo Bank,https://electricityproduction.uk/plant/GBR0002487/,,Wind,90.0,Orsted (formerly Dong Energy),,,,,
Rhyl Flats,https://electricityproduction.uk/plant/GBR0002495/,,Wind,90.0,RWE Npower,,,,,
RWE npower,https://electricityproduction.uk/plant/owner/rwe-npower/,,,480.7,,,,,,
Kentish Flats,https://electricityproduction.uk/plant/GBR0002492/,,Wind,90.0,Vattenfall,,,,,
Robin Rigg East,https://electricityproduction.uk/plant/GBR0002496/,,Wind,90.0,E.On,,,,,
E.On,https://electricityproduction.uk/plant/owner/eon/,,,310.7,,,,,,
Robin Rigg West,https://electricityproduction.uk/plant/GBR0002497/,,Wind,90.0,E.On,,,,,
Kype Muir Wind Farm,https://electricityproduction.uk/plant/GBR2001075/,,Wind,88.4,Banks Renewables,,,,,
Banks Renewables,https://electricityproduction.uk/plant/owner/banks-renewables/,,,223.0,,,,,,
Beinneun,https://electricityproduction.uk/plant/GBR0003787/,,Wind,85.0,Octopus Investments/Blue Energy.,,,,,
Octopus Investments/Blue Energy.,https://electricityproduction.uk/plant/owner/octopus-investmentsblue-energy/,,,129.3,,,,,,
Runcorn EfW,https://electricityproduction.uk/plant/GBR0000932/,,Waste,81.0,INEOS Chlor / Viridor-Laing,,,,,
INEOS Chlor / Viridor-Laing,https://electricityproduction.uk/plant/owner/ineos-chlor-viridor-laing/,,,81.0,,,,,,
Ferrybridge Multi-fuel,https://electricityproduction.uk/plant/GBR0000116/,,Biomass,79.0,Scottish and Southern Energy (SSE),,,,,
Mid Hill,https://electricityproduction.uk/plant/GBR0004627/,,Wind,75.9,Fred Olsen Renewables,,,,,
Drax GT,https://electricityproduction.uk/plant/GBR1000112/,,Gas,75.0,Drax Power Ltd,,,,,
Drax Power Ltd,https://electricityproduction.uk/plant/owner/drax-power-ltd/,,,75.0,,,,,,
Slieve Kirk,https://electricityproduction.uk/plant/GBR0004058/,,Wind,73.6,Airtricity,,,,,
Airtricity,https://electricityproduction.uk/plant/owner/airtricity/,,,158.8,,,,,,
Foresight Solar Fund,https://electricityproduction.uk/plant/owner/foresight-solar-fund/,,,140.51,,,,,,
