bmUnit,total_acceptances,active_days,discharge_count,total_mw_discharged,discharge_revenue_gbp,avg_discharge_price,max_discharge_mw,charge_count,total_mw_charged,charge_cost_gbp,avg_charge_price,max_charge_mw,net_revenue_gbp,max_capacity_mw,avg_action_size_mw,duration_hours,energy_capacity_mwh,estimated_cycles,profit_per_cycle_gbp,revenue_per_mw_gbp,revenue_per_mwh_capacity_gbp,avg_cycles_per_day,utilization_pct,price_spread_captured_per_cycle,round_trip_efficiency_pct,capex_estimate_gbp,simple_payback_years,annual_roi_pct,total_energy_discharged_mwh,total_energy_charged_mwh,is_vlp,operator_type
E_ROOSB-1,28077,341,7674,25743,1074307.0399999996,89.7373566792861,40,8785,30126,1159368.9150000003,82.38774476347375,40,-85061.87500000001,40,1.9898493428785116,2.0,80.0,7674,-11.084424680740163,-2126.5468750000005,-1063.2734375000002,22.50439882697947,1125.2199413489736,7.349611915812346,92.66308817672582,16000000.0,-188.0983695692106,-0.5316367187500001,12871.5,15063.0,True,VLP
T_MKFRB-1,2057,12,532,13001,459666.4949999997,77.2636873747495,56,722,21249,572215.9050000005,60.802855051244535,56,-112549.41000000016,56,16.650461837627596,2.0,112.0,532,-211.55904135338378,-2009.8108928571457,-1004.9054464285729,44.333333333333336,2216.666666666667,16.46083232350496,80.33095392551162,22400000.0,-199.0236999021138,-0.5024527232142865,6500.5,10624.5,True,VLP
E_CONTB-1,61182,352,17383,151257,6524991.054999997,86.40039184111647,34,20057,166185,6658267.222499997,80.99032416605664,34,-133276.1675000006,34,5.188486809846033,2.0,68.0,17383,-7.667040643157142,-3919.887279411782,-1959.943639705891,49.38352272727273,2469.1761363636365,5.410067675059835,97.99833555719083,13600000.0,-102.04375062030456,-0.9799718198529456,75628.5,83092.5,True,VLP
E_ROARB-1,49305,351,15051,238041,10319121.235,89.91357005229837,49,15569,232203,10470100.6775,92.02002451305154,49,-150979.44249999966,49,9.537450562823247,2.0,98.0,15051,-10.031190120257767,-3081.213112244891,-1540.6065561224455,42.88034188034188,2144.017094017094,-2.10645446075317,98.5579943579296,19600000.0,-129.81899837125206,-0.7703032780612227,119020.5,116101.5,True,VLP
E_BHOLB-1,49332,349,13570,41383,1657111.777500001,81.76274369066915,7,15911,47040,1811750.825000001,78.2557914890783,7,-154639.04749999993,7,1.7924065515284193,2.0,14.0,13570,-11.395655674281498,-22091.29249999999,-11045.646249999994,38.882521489971346,1944.1260744985673,3.506952201590849,91.46466250401735,2800000.0,-18.10668162580348,-5.522823124999998,20691.5,23520.0,True,VLP
T_RICHB-2,27750,342,7654,51756,1693439.4399999997,76.53695086098276,49,9159,65136,1904128.2400000005,71.02214706221864,49,-210688.79999999996,49,4.212324324324326,2.0,98.0,7654,-27.526626600470337,-4299.771428571427,-2149.8857142857137,22.380116959064328,1119.0058479532163,5.51480379876412,88.93515701442458,19600000.0,-93.02820083459588,-1.074942857142857,25878.0,32568.0,True,VLP
T_KEMB-1,40715,325,11392,70742,2941147.590000001,85.0814785095001,45,13724,86134,3175307.3424999993,77.78085866728084,48,-234159.75250000003,49,3.853027139874741,2.0,98.0,11392,-20.554753555126407,-4778.770459183674,-2389.385229591837,35.05230769230769,1752.6153846153848,7.3006198422192625,92.62560353242408,19600000.0,-83.70353910414215,-1.1946926147959185,35371.0,43067.0,True,VLP
T_PEMB-51,7240,182,1450,155235,6270162.604999999,81.50533472803347,380,3234,242308,6504508.38,62.33979513888888,273,-234345.7749999997,445,54.909254143646415,2.0,890.0,1450,-161.61777586206875,-526.6197191011229,-263.30985955056144,7.967032967032967,398.35164835164835,19.165539589144593,96.39717928997423,178000000.0,-759.5613789068748,-0.13165492977528073,77617.5,121154.0,True,VLP
T_RICHB-1,29346,337,8028,55579,1863030.8575000009,77.78118654230511,49,9747,67848,2116407.3550000014,72.16842872628727,49,-253376.49749999997,49,4.205922442581614,2.0,98.0,8028,-31.56159659940209,-5170.948928571428,-2585.474464285714,23.821958456973295,1191.0979228486647,5.612757816017833,88.02799012669277,19600000.0,-77.35524089009085,-1.292737232142857,27789.5,33924.0,True,VLP
T_PEMB-21,6947,201,1440,144224,6035987.352500004,87.02467921896793,231,3013,220477,6368505.877500001,63.592772613514455,231,-332518.5249999996,459,52.497624874046345,2.0,918.0,1440,-230.91564236111086,-724.4412309368183,-362.22061546840916,7.164179104477612,358.2089552238806,23.431906605453477,94.77870427701434,183600000.0,-552.1496885023179,-0.18111030773420458,72112.0,110238.5,True,VLP
E_RDFRB-1,2421,230,419,5840,295458.7875000001,101.0743734939759,16,905,12990,638380.895,97.30052164261932,16,-342922.1075,16,7.7777777777777795,2.0,32.0,419,-818.4298508353222,-21432.63171875,-10716.315859375,1.8217391304347825,91.08695652173913,3.773851851356582,46.282523461169696,6400000.0,-18.66313037283547,-5.3581579296875,2920.0,6495.0,True,VLP
T_THURB-3,7780,42,1820,29435,1251293.5149999997,80.78385000000006,78,2941,50067,1609697.7700000023,68.33884800550213,90,-358404.2549999999,92,10.21876606683805,2.0,184.0,1820,-196.9254148351648,-3895.6984239130425,-1947.8492119565212,43.333333333333336,2166.666666666667,12.445001994497929,77.73468649335321,36800000.0,-102.6773524214996,-0.9739246059782606,14717.5,25033.5,True,VLP
T_THURB-2,7617,43,1858,40846,1646995.7800000003,77.83071780821906,94,2841,66634,2020299.1550000014,63.00335127377112,92,-373303.3749999996,94,14.110542208218442,2.0,188.0,1858,-200.91677879440238,-3971.3124999999955,-1985.6562499999977,43.2093023255814,2160.4651162790697,14.82736653444794,81.52237137375822,37600000.0,-100.72236823468323,-0.9928281249999988,20423.0,33317.0,True,VLP
E_BROAB-1,53685,338,14195,54989,2237133.435,83.71168855603926,11,17884,70063,2695488.687500001,78.46983164384372,11,-458355.25250000006,11,2.3293657446214016,2.0,22.0,14195,-32.28990859457556,-41668.659318181824,-20834.329659090912,41.99704142011834,2099.852071005917,5.241856912195544,82.99546740353364,4400000.0,-9.59954091504602,-10.417164829545456,27494.5,35031.5,True,VLP
T_THURB-1,9127,54,2076,41349,1334044.1249999988,64.5440772532189,88,3465,72265,1855455.960000001,57.57292253521118,96,-521411.83500000124,96,12.448120959789598,2.0,192.0,2076,-251.16177023121446,-5431.373281250013,-2715.6866406250065,38.44444444444444,1922.2222222222222,6.971154718007725,71.8984526585044,38400000.0,-73.64619945767036,-1.357843320312503,20674.5,36132.5,True,VLP
