DATETIME,FPN,BOA,Difference
2023-09-07T08:00:00,282.34,278.306,-4.034
2023-09-12T05:30:00,288.2,288.358,0.158
2023-12-04T16:30:00,253.88000000000008,255.222,1.3419999999999903
2024-03-11T13:30:00,316.88000000000005,316.332,-0.5480000000000094
2021-05-05T20:30:00,275.1,275.7,0.6
2021-05-05T21:00:00,270.3,269.29400000000004,-1.006
2021-07-10T19:30:00,315.6,310.908,-4.692
2021-08-28T01:00:00,151.92,162.63,10.71
2022-05-20T14:00:00,221.7,221.126,-0.574
2022-07-16T20:00:00,253.28,247.418,-5.862
2022-12-25T16:00:00,130.04,103.346,-26.69400000000001
2023-02-06T18:30:00,267.08,267.972,0.892
2023-03-05T19:30:00,292.5,292.7340000000001,0.234
2023-05-29T22:30:00,117.5,121.496,3.996
2023-08-03T03:30:00,57.06,57.082,0.022
2023-09-05T07:30:00,265.14,264.426,-0.7140000000000001
2023-09-21T14:30:00,188.94,219.728,30.788
2023-10-15T15:30:00,240.32,234.88799999999992,-5.431999999999998
2023-10-17T23:30:00,62.52,72.18599999999998,9.665999999999997
2024-01-03T18:00:00,226.25999999999988,225.196,-1.06399999999999
2024-01-05T00:00:00,179.44000000000003,179.582,0.1419999999999892
2021-05-05T21:30:00,264.22,271.808,7.587999999999999
2021-07-10T21:30:00,321.36,315.438,-5.9220000000000015
2021-11-27T23:00:00,126.44,123.558,-2.882
2022-08-20T11:30:00,109.38,111.936,2.556
2022-11-21T05:00:00,252.78,249.0,-3.78
2022-12-16T13:30:00,285.24,281.768,-3.472
2022-12-28T07:30:00,76.24,79.584,3.344
2022-12-30T10:00:00,51.1,65.104,14.004
2023-03-06T07:00:00,275.38,265.98400000000004,-9.396
2023-04-14T10:30:00,272.1,272.594,0.494
2023-08-03T05:30:00,108.0,108.006,0.006
2023-08-18T21:00:00,108.22,144.352,36.132
2023-08-28T00:30:00,138.08,138.05200000000002,-0.028
2023-09-12T06:30:00,296.94,296.312,-0.628
2024-03-05T23:30:00,276.31999999999994,281.196,4.875999999999993
2024-03-17T04:00:00,88.58000000000004,102.64200000000004,14.062000000000005
2021-04-02T15:00:00,194.06,183.896,-10.164
2021-04-02T15:30:00,197.02,185.044,-11.976
2021-07-10T22:00:00,311.96,306.512,-5.448
2021-07-10T22:30:00,303.36,311.76,8.4
2021-07-11T01:00:00,286.56,289.26,2.7
2023-02-12T07:30:00,245.58,246.412,0.8320000000000001
2023-03-13T05:30:00,41.98,72.602,30.622
2023-07-11T21:00:00,226.14,225.99400000000003,-0.146
2023-08-06T01:30:00,75.08,75.06,-0.02
2023-08-08T17:00:00,222.82,222.816,-0.004
2023-09-21T15:30:00,224.28,238.108,13.828
2023-09-23T09:30:00,234.16,235.084,0.924
2023-10-18T04:30:00,59.23999999999999,68.38000000000001,9.140000000000002
2024-01-30T03:30:00,123.75999999999996,125.944,2.1840000000000046
2024-02-27T01:00:00,160.15999999999997,182.47600000000003,22.315999999999992
2021-05-06T02:00:00,239.32,241.226,1.906
2021-07-11T04:00:00,270.14,291.942,21.802
2022-01-02T18:30:00,78.38,95.264,16.884
2022-12-30T10:30:00,57.46,64.594,7.134
2023-01-13T21:00:00,142.84,142.984,0.144
2023-02-06T19:00:00,269.32,269.942,0.622
2023-03-14T18:00:00,225.92,226.55,0.63
2023-04-19T15:30:00,77.18,87.03399999999998,9.854
2023-07-13T20:00:00,243.66,244.032,0.3720000000000001
2023-08-03T06:00:00,119.76,119.758,-0.002
2023-08-08T23:30:00,196.62,196.612,-0.008
2023-08-09T00:30:00,187.0,186.982,-0.018
2023-10-17T12:30:00,180.7,175.80399999999997,-4.895999999999991
2024-01-12T02:00:00,298.2199999999999,291.60000000000014,-6.619999999999982
2021-04-02T16:00:00,213.96,206.924,-7.0360000000000005
2021-04-02T16:30:00,221.6,218.57,-3.03
2021-05-06T02:30:00,241.1,246.89,5.79
2021-07-11T12:00:00,251.22,247.53,-3.69
2021-07-11T18:30:00,281.66,282.694,1.034
2022-09-22T12:00:00,233.52,232.794,-0.726
2023-01-18T19:30:00,241.62,235.008,-6.612
2023-04-09T15:30:00,85.12,117.296,32.176
2023-04-29T12:00:00,287.82,285.312,-2.508
2023-08-01T10:30:00,190.12,190.124,0.004
2023-08-12T04:30:00,77.72,77.778,0.058
2023-08-19T18:30:00,140.6,155.784,15.184
2023-09-12T07:30:00,300.14,297.656,-2.484
2024-02-15T18:30:00,227.78000000000003,221.74400000000003,-6.035999999999992
2024-02-29T21:30:00,226.00000000000009,224.79399999999995,-1.2059999999999926
2021-05-06T03:00:00,240.8,247.336,6.5360000000000005
2022-07-28T04:00:00,285.18,286.092,0.912
2022-08-20T19:30:00,188.36,191.384,3.024
2022-11-10T10:30:00,75.04,90.23,15.19
2023-04-29T12:30:00,285.64,282.25,-3.39
2023-08-10T11:00:00,265.26,265.272,0.012
2023-09-03T01:30:00,111.18,137.276,26.096
2023-10-14T17:30:00,99.11999999999998,114.528,15.407999999999998
2024-01-08T23:00:00,214.64000000000007,211.902,-2.737999999999992
2024-01-14T03:00:00,284.0599999999999,268.40600000000006,-15.654000000000003
2024-03-02T04:00:00,182.2800000000001,172.71200000000005,-9.567999999999994
2021-05-06T03:30:00,243.36,248.14,4.78
2021-05-06T04:30:00,248.06,249.128,1.068
2021-05-06T09:30:00,240.82,249.444,8.624
2021-05-06T10:00:00,233.06,242.93,9.87
2021-07-11T19:00:00,286.32,286.648,0.328
2021-07-11T21:00:00,283.84,286.64,2.8
2022-12-20T18:30:00,132.58,148.17600000000004,15.595999999999998
2023-02-18T20:30:00,142.06,131.65,-10.41
2023-02-18T21:00:00,127.78,129.31,1.53
2023-05-19T04:30:00,252.0,250.228,-1.7719999999999998
2023-07-24T19:30:00,247.04,254.112,7.072
2023-10-12T04:00:00,266.18,259.57800000000003,-6.602000000000005
2024-02-27T16:30:00,239.45999999999992,244.332,4.871999999999994
2024-03-18T02:30:00,160.7600000000001,147.81399999999994,-12.946000000000016
2021-06-14T13:30:00,121.02,130.674,9.654
2021-07-12T05:00:00,289.82,289.21,-0.61
2021-07-12T05:30:00,295.16,295.046,-0.114
2023-03-20T15:00:00,238.52,240.608,2.088
2023-03-20T15:30:00,239.08,239.674,0.594
2023-04-29T13:30:00,282.6,279.828,-2.772
2023-05-31T14:00:00,168.06,174.232,6.1720000000000015
2023-06-27T15:30:00,208.1,203.952,-4.148
2023-07-09T23:30:00,207.98,213.99400000000003,6.013999999999999
2023-08-09T01:00:00,183.92,187.546,3.626
2023-08-12T05:00:00,70.84,70.944,0.104
2023-08-12T05:30:00,71.06,71.094,0.034
2023-08-28T14:00:00,229.42,230.978,1.558
2023-10-09T08:30:00,278.80000000000007,276.22,-2.579999999999984
2024-02-18T08:00:00,138.93999999999997,149.44400000000005,10.504000000000003
2021-05-06T13:30:00,205.22,210.008,4.788
2021-05-06T14:00:00,206.92,214.61,7.69
2021-07-13T05:30:00,271.74,263.88,-7.86
2023-03-25T17:00:00,203.76,201.176,-2.584
2023-06-17T07:30:00,263.7,262.15,-1.55
2023-08-12T06:00:00,71.88,71.904,0.024
2023-08-28T01:00:00,139.12,144.332,5.2120000000000015
2023-08-30T20:00:00,255.68,254.916,-0.764
2023-09-01T17:00:00,281.1,277.508,-3.592
2023-12-09T18:30:00,148.66,135.918,-12.742000000000008
2024-01-09T17:30:00,273.98000000000013,269.88000000000005,-4.099999999999996
2024-02-02T19:30:00,49.12000000000002,80.30399999999999,31.184000000000008
2024-03-11T16:30:00,307.2399999999999,307.41600000000005,0.1760000000000047
2021-05-06T14:30:00,209.18,215.002,5.822
2021-05-06T15:00:00,215.82,220.404,4.584
2021-07-13T06:30:00,276.02,273.27,-2.75
2021-09-12T19:00:00,318.24,313.66,-4.58
2022-04-21T02:30:00,208.9,209.19,0.29
2022-05-21T00:00:00,112.62,115.69,3.07
2022-12-08T18:00:00,285.1,286.9240000000001,1.824
2023-02-22T07:30:00,279.26,277.908,-1.352
2023-04-09T16:00:00,102.28,133.886,31.606
2023-04-29T14:30:00,281.8,280.038,-1.7619999999999998
2023-06-17T08:00:00,260.16,259.664,-0.496
2023-08-06T02:00:00,76.46,76.42399999999998,-0.036
2023-08-20T22:30:00,200.26,188.038,-12.222
2023-08-24T06:30:00,295.9,294.146,-1.754
2023-09-03T02:00:00,111.04,144.388,33.348
2023-10-03T07:30:00,96.52,108.96,12.44
2024-02-19T09:30:00,137.64000000000004,138.29199999999997,0.6519999999999944
2021-07-13T09:30:00,247.68,245.408,-2.272
2021-07-13T21:00:00,233.94,240.358,6.4179999999999975
2021-07-13T22:00:00,216.38,240.044,23.664
2022-11-16T18:00:00,215.38,213.75,-1.63
2023-01-23T15:30:00,282.74,283.41,0.67
2023-02-09T16:00:00,244.88,240.932,-3.948
2023-04-02T06:30:00,185.74,177.018,-8.722000000000001
2023-07-11T21:30:00,215.06,218.62,3.56
2023-09-26T06:00:00,165.3,185.878,20.578000000000007
2023-10-03T08:30:00,80.02,95.944,15.924
2021-04-08T23:30:00,109.94,123.89,13.95
2021-05-07T01:30:00,206.66,220.724,14.064
2021-07-14T02:30:00,181.16,195.798,14.638
2022-06-16T00:00:00,238.24,235.358,-2.882
2022-08-21T06:30:00,174.56,179.046,4.4860000000000015
2022-12-20T19:00:00,131.02,151.702,20.682
2023-02-09T16:30:00,245.98,249.404,3.424
2023-02-18T21:30:00,114.58,116.826,2.246
2023-08-28T01:30:00,137.54,142.99200000000005,5.452000000000001
2023-11-03T15:30:00,163.11999999999995,162.97000000000006,-0.149999999999999
2023-12-07T15:30:00,202.23999999999992,208.676,6.435999999999987
2024-02-19T17:30:00,203.84000000000003,206.228,2.388000000000006
2021-04-02T17:00:00,214.66,210.268,-4.392
2021-05-07T02:30:00,215.66,230.406,14.746
2021-07-14T03:00:00,178.38,193.416,15.036
2021-11-27T23:30:00,118.26,114.246,-4.013999999999999
2022-08-23T17:30:00,263.3,262.69,-0.61
2023-05-22T04:00:00,173.94,160.156,-13.784
2023-06-10T18:30:00,117.76,117.554,-0.206
2023-10-10T06:00:00,203.20000000000007,215.76200000000003,12.562000000000005
2023-11-04T15:00:00,214.54,204.76999999999995,-9.769999999999998
